Order ID,Trade date,Instrument code,Market code,Quantity,Price,Transaction type,Exchange rate,Transaction fee,Currency,Amount,Transaction method
74ffd66c-9556-42bf-8a9e-d1f590a7337a,2021-10-28 19:45:03.810000 (UTC),MCD,NYSE,0.06089751,245.09,BUY,,0.07463,usd,14.92537314,BUY
8c80ad5a-4eba-4d9d-9de0-0ed381e3346e,2021-10-28 19:46:10.836000 (UTC),KO,NYSE,0.30211507,55.99,BUY,,0.08458,usd,16.91542289,BUY
42ef7939-aa7d-4071-865a-6f978815f702,2021-10-28 19:48:35.029000 (UTC),SBUX,NASDAQ,0.06215042,112.71,BUY,,0.03502,usd,7.00497513,BUY
5c5848d9-a219-47c0-8577-3e718d39e666,2021-11-01 00:26:54.819308 (UTC),OZY,NZX,0.27819459,4.292,BUY,,0.00597,nzd,1.194029819,BUY
2b46376a-fbeb-48f0-8f76-9e21af002bf9,2021-11-01 00:26:54.819308 (UTC),EUF,NZX,2.04212391,1.949,BUY,,0.0199,nzd,3.980099501,BUY
f0a683cd-1d30-42b9-b57f-6699d0af28a0,2021-11-01 00:26:54.819308 (UTC),FNZ,NZX,0.22366392,3.559,BUY,,0.00398,nzd,0.796019891,BUY
af6226f5-20e8-4b6f-880a-c05dc6cae8e3,2021-11-01 00:26:54.819308 (UTC),EMF,NZX,2.08746477,1.43,BUY,,0.01493,nzd,2.985074621,BUY
effa4dc8-a75e-4308-a570-8b3ccf125b73,2021-11-01 00:26:54.819308 (UTC),APA,NZX,1.75644285,2.266,BUY,,0.0199,nzd,3.980099498,BUY
6334a1c7-05bd-4601-b7a3-fb7bc2831fda,2021-11-01 00:26:54.819308 (UTC),USF,NZX,0.59026899,11.8,BUY,,0.03483,nzd,6.965174082,BUY
59b813c8-bbfa-4a82-b14e-dda7a2a6a9ab,2021-11-08 00:29:21.880519 (UTC),OZY,NZX,0.27467905,4.347,BUY,,0.00597,nzd,1.19402983,BUY
711b7abc-a8e2-4f4d-a8b4-a4890f08d409,2021-11-08 00:29:21.880519 (UTC),EUF,NZX,1.99804192,1.992,BUY,,0.0199,nzd,3.980099505,BUY
f84e2015-c373-4938-a54a-3455fefa2e6a,2021-11-08 00:29:21.880519 (UTC),FNZ,NZX,0.22461058,3.544,BUY,,0.00398,nzd,0.796019896,BUY
27fd4f99-ae71-4be5-82c1-e3d522f831a2,2021-11-08 00:29:21.880519 (UTC),EMF,NZX,2.07297042,1.44,BUY,,0.01493,nzd,2.985074627,BUY
03aac756-ac74-465c-936c-73a78ec18f7d,2021-11-08 00:29:21.880519 (UTC),APA,NZX,1.720042,2.314,BUY,,0.0199,nzd,3.980099502,BUY
5e0e3951-3761-41c9-ab1d-365ee19b8f00,2021-11-08 00:29:21.880519 (UTC),USF,NZX,0.5756818,12.099,BUY,,0.03483,nzd,6.965174098,BUY
e09e916c-6d23-40c7-b862-b75c8fdcda4c,2021-11-15 00:09:13.101137 (UTC),OZY,NZX,0.27354635,4.365,BUY,,0.00597,nzd,1.194029818,BUY
88b9993d-5c1b-4417-80a0-e53ee9822c13,2021-11-15 00:09:13.101137 (UTC),EUF,NZX,1.980149,2.01,BUY,,0.0199,nzd,3.98009949,BUY
1e0fc5d9-e7d8-4c7c-b908-6d0df7878750,2021-11-15 00:09:13.101137 (UTC),FNZ,NZX,0.2264637,3.515,BUY,,0.00398,nzd,0.796019906,BUY
ef08645d-5a55-4f2e-a0b9-40ba6140d5f0,2021-11-15 00:09:13.101137 (UTC),EMF,NZX,1.99700999,1.495,BUY,,0.01493,nzd,2.985074617,BUY
3d7c1fda-bdc9-4a48-8484-d4402f39bcfd,2021-11-15 00:09:13.101137 (UTC),APA,NZX,1.70819721,2.33,BUY,,0.0199,nzd,3.980099499,BUY
6b441416-4792-410e-a584-5fc2c36dd821,2021-11-15 00:09:13.101137 (UTC),USF,NZX,0.57166563,12.184,BUY,,0.03483,nzd,6.965174036,BUY
3390d96a-6dab-4c1a-aa04-d0e39b485e90,2021-11-15 02:50:49 (UTC),SPK,NZX,1.17191818,4.5,BUY,,0.02637,nzd,5.27363185,BUY
a200a13f-5dac-4b7d-8be7-d93a9a7c9d05,2021-11-22 00:57:52.343434 (UTC),OZY,NZX,0.281596,4.24,BUY,,0.00597,nzd,1.194029836,BUY
a72d91a0-f1cd-4612-8485-b688372e5859,2021-11-22 00:57:52.343434 (UTC),EUF,NZX,2.0030697,1.987,BUY,,0.0199,nzd,3.980099494,BUY
6acfd9b5-9d86-4c73-83cc-2f705cfd5bdd,2021-11-22 00:57:52.343434 (UTC),FNZ,NZX,0.23204884,3.43,BUY,,0.00398,nzd,0.796019877,BUY
